S#,C#,GRADE
2222674330,INDE300601,80.0
2206762710,LITE306221,51.9
2200049881,MACH391501,65.8
2200266522,MACH391201,61.3
2217270492,MACH400301,75.8
JL22223096,MACH391401,62.9
2211886737,FEES400101,79.8
2195897321,CORE102600,74.2
2200026968,GNED101001,52.0
2217607115,LITE302321,90.7
2209066322,INDE401601,88.6
2196560128,INSM501901,93.1
2208131669,MACH392301,75.2
2204098768,LITE401121,59.5
2195807279,INSM302201,80.1
2205330242,LITE401821,83.5
2208696221,LITE200521,48.8
JL22259764,MACH392401,78.5
2193783039,MACH392201,80.2
2208632211,LITE302321,72.4
2227872334,FEES400501,72.9
2224573556,LITE304421,null
2226042811,INDE400601,null
2213249211,JZSJ900121,86.7
2228948373,LITE304621,72.7
2197884937,INSM302001,68.1
2206456462,LITE303221,62.1
2191479423,MACH391401,59.1
2205237518,LITE401821,50.6
JL22142352,INSM900301,65.9
2202512981,LITE305821,null
2226042811,INDE900301,null
2194093391,AUTO544905,78.1
JL22259764,GNED101101,70.8
2195385492,INSM401801,86.6
2218081326,GNED101101,70.9
2196366275,LITE502221,85.6
2190134684,MACH391501,null
2229074325,MACH392401,96.7
2227255346,FEES300101,88.5
2214538316,MACH391501,45.2
2213298391,MACH000101,84.1
2226658003,MATH400121,null
2229572420,FEES400501,86.6
2217817831,LITE303021,75.9
2193885756,LITE200521,97.1
JL21942216,GNED106492,89.7
2212799123,GNED100901,77.7
2229027418,INDE500901,84.5
2193179551,FEES400501,84.4
2192808515,GNED106392,51.7
2224142408,LITE501321,null
2224676405,LITE306921,42.2
2218113808,LITE304621,77.0
JL21994570,GNED101101,63.7
2223495853,MATH400121,66.2
2211254960,LITE101321,70.3
2228948373,LITE307021,69.1
JL22232817,LITE200521,null
2228057245,AUTO544905,87.1
2191864015,GNED100601,90.8
2201447926,INDE901001,61.8
2224676405,LITE306321,56.5
2218606372,MACH391201,68.8
2204531961,INSM302201,67.7
2196133768,LITE306921,76.3
2216508411,INSM502001,null
2190796474,LITE401421,94.7
2214452660,FEES300101,71.3
2211536081,INSM502001,85.7
JL22190052,INDE900301,70.9
2209066322,GNED106392,59.8
2219758473,ITDE500701,81.5
2197292217,MACH390901,93.2
JL22047151,LITE401521,95.6
2225678905,INDE401401,49.3
2193913656,ITDE500601,67.8
2216944048,INSM502001,70.8
2219988811,FEES400101,null
2209731783,ITDE500701,80.5
2213981998,LITE402621,66.7
2204858514,INDE501001,null
2217981216,INDE900301,61.0
2219290065,GNED100601,49.3
2190611825,LITE305421,75.3
JL22252352,LITE302721,61.0
2200306125,GNED100901,59.7
2215629141,INDE400601,76.5
2196783308,LITE200321,58.1
2206767598,FEES500101,79.3
2203034063,LITE502221,91.6
2220407438,MACH000101,95.8
JL22129773,INSM900101,93.7
2218380408,LITE501321,49.4
2195072567,GNED101001,97.1
2207748693,SOCP100190,null
2193310881,LITE401121,97.8
2228057245,LITE304421,80.5
JL22268243,INSM502101,76.9
2227315699,MACH000201,94.7
2207742692,GNED100901,73.3
2203225789,INDE400601,68.9
2212028859,INDE500801,81.5
JL22174348,MACH391201,87.1
2220486760,INDE900301,null
2194490065,INSM502001,62.5
2205831341,LITE200321,97.1
2190404097,LITE305021,57.4
2195546800,MACH392001,61.3
2205714505,LITE402621,92.6
2218423503,INSM401801,92.5
2213719404,MACH391501,95.5
2229124889,GNED101101,49.1
2197605025,FEES500101,90.1
2190342267,LITE306321,88.5
2213070093,GNED100601,50.1
2218007133,INDE900201,50.1
2229515517,FEES500101,62.3
2201078084,LITE502221,97.8
2211028134,INDE900801,74.8
2216381952,INDE501001,73.1
2216311834,LITE306321,68.1
2217495436,INSM302001,null
2210237286,MACH392401,76.7
2194572515,LITE401421,43.7
2228359424,INDE400601,85.8
2190868876,MACH391401,65.2
2199618334,LITE305821,null
2225206631,INDE401501,75.1
2227986592,LITE502221,null
2227255346,LITE501121,83.5
2207299612,ITDE500701,81.7
2218685031,MACH000101,73.5
JL21933205,INSM401501,79.3
JL22086058,INSM401201,55.9
2220629197,INDE500901,65.9
2212182114,LITE305621,60.0
2207748693,MACH000201,99.8
2211028134,MACH392401,null
2196416655,GNED101001,91.5
2220381529,LITE305821,49.4
2226441989,INSM302001,50.4
2222205377,LITE307021,99.9
2210173888,INFT500121,84.1
2228678682,MACH400301,70.5
JL22165939,LITE305021,91.2
2214004359,LITE305421,89.6
2225593084,INDE500901,26.4
2229017735,LITE101021,null
2224640895,JZSJ900121,45.5
2218003301,MACH000101,77.6
2198948587,INSM501901,69.5
2198986021,MACH391201,82.6
2208978008,INDE401601,85.5
JL22190052,MACH391201,80.1
2219895854,INSM900101,86.3
2228886010,LITE304621,73.4
2211661449,INDE401601,85.7
2190648174,JZSJ900121,65.3
2199021248,CORE102600,74.3
2222239016,INSM401201,57.1
2221800247,LITE305821,null
2194050459,SOCP100190,84.9
2208810388,FEES400501,98.9
2191932556,FEES400101,94.8
2218436556,JZSJ900121,67.8
2222765277,MACH000201,88.1
JL21984012,JZSJ900101,53.3
2202470738,LITE401121,57.7
2193496719,LITE200521,62.2
2216933565,GNED100401,null
2192143007,GNED100601,98.2
2213505839,CORE102600,99.8
2225043354,LITE402621,96.6
JL22133278,INDE000701,74.3
2190942237,LITE401521,65.2
2214859557,INSM302201,99.2
2221321675,MACH391201,44.1
2209568965,MACH000101,75.8
2202919951,INSM401501,91.8
2216119028,LITE401821,null
2211398755,FEES400301,59.4
2211170882,CORE102600,52.9
2206762710,INDE500801,62.1
2228359424,INSM000101,null
2194759784,MACH390901,78.9
2225375000,INDE500801,88.6
2221109638,LITE501121,89.3
2209071333,GNED101001,35.0
2195887286,GNED106492,60.1
2199922414,LITE302321,89.4
2205159699,ITDE500701,52.0
2209996472,INSM900101,64.2
2215567948,INDE500801,65.8
JL22107007,LITE306221,null
2218281579,LITE303721,null
2195807279,LITE306221,78.5
2194340221,GNED106292,80.7
2216338733,LITE402321,95.7
2205118591,JZSJ900301,74.0
2206762710,MACH391501,62.8
2224142408,INSM000101,78.6
JL22179242,INDE900801,92.9
2193508875,MACH392201,63.9
2214070513,INSM502001,90.7
2215529521,MACH391401,58.1
2225639683,LITE502121,80.8
2222610011,GNED100401,null
2229074325,INDE900301,94.1
2204661099,LITE305321,66.9
2200774147,LITE306321,58.0
2205650430,INSM401601,78.1
2206313516,FEES500101,99.2
2195192673,MACH392201,79.9
2211773408,LITE501121,92.5
2226377833,INSM000101,null
2213620693,GNED100601,57.0
2207861557,INSM502101,82.8
2191614442,SOCP100190,69.7
2225651889,LITE303721,90.0
2192494355,LITE502221,92.3
2205118591,LITE306921,null
JL22232817,INSM401201,81.6
2209996472,MACH392401,78.9
2219942247,LITE200321,77.9
JL22115350,ITDE500701,57.6
2205237518,LITE305821,60.8
2226377833,LITE305821,76.6
2214067481,LITE101021,78.7
2196416655,GNED106492,98.3
JL22264056,LITE401421,79.4
2226439124,GNED101101,75.2
2220490443,LITE303021,41.6
2215480562,GNED101101,94.3
2199518975,INDE900301,null
2200777628,LITE305321,null
2200415270,INSM502001,55.3
2204269096,INDE000701,88.9
2222561139,LITE502221,68.4
2219078227,LITE306321,88.3
2199509239,LITE200321,73.7
2222485278,FEES400101,88.6
2223586956,LITE305021,63.0
2204284758,LITE306321,80.7
2220486760,INDE500901,93.2
2196560128,LITE306121,38.9
2220417908,LITE401121,55.0
2221870794,FEES400301,72.2
2197884937,LITE305821,65.2
2209576392,LITE200321,81.2
2213683182,MACH391401,66.1
2224447728,INDE901001,null
2227841763,INDE300601,70.5
2223002853,LITE502121,59.1
2211395587,LITE306221,96.4
JL22142352,LITE101321,49.8
2195200129,INDE401501,63.6
2227909867,LITE304621,82.4
2203899597,INSM401801,74.2
2214380224,GNED106292,56.9
2219493593,MATH400121,null
2210406956,GNED100901,null
2222444045,LITE302321,null
JL22268243,LITE305821,97.4
2202777748,JZSJ900121,90.7
2201609446,LITE304621,null
2218783393,INSM502001,null
2220677463,INDE400101,73.0
2195077237,LITE303721,67.8
2218167717,ITDE500601,80.5
2199052893,LITE306821,83.9
2212861118,LITE303721,71.5
2211066800,INSM900101,null
2208978008,LITE200321,83.4
2218007133,GNED106292,81.2
2194630264,INDE400101,96.3
2205237518,INSM502101,84.2
2196252065,MACH400301,74.8
2226019923,INSM502001,46.0
2195072567,INSM000101,90.8
2195807279,INSM401501,61.0
2224212322,SOCP100190,null
2219431854,MACH390801,67.8
2204098768,MACH000101,41.1
JL22018362,MACH392201,null
2216954443,INSM302201,67.5
2217495436,LITE307021,null
2207389931,LITE304621,81.8
2197956825,LITE306121,66.6
2224676405,LITE306821,69.4
2218323005,GNED100601,64.6
2218262929,LITE101121,94.4
2228679987,LITE303721,81.1
2209071333,LITE200321,73.5
2206483393,LITE502221,80.5
2202512981,MACH000101,88.6
2221843387,MACH391401,69.0
JL22152260,INSM302201,null
2211886737,INDE300601,70.1
2192128377,AUTO544905,82.4
2193913656,INSM401801,65.5
2208402186,LITE401121,67.2
JL22144367,LITE306221,76.4
2223597617,INDE901001,93.6
2220417908,ITDE500601,56.9
2205569366,GNED115200,89.0
2209527942,GNED106292,86.0
2196825251,LITE200521,67.8
JL22252352,LITE306821,86.7
2200526024,CORE102600,73.2
2229432307,INDE400601,99.8
2202512981,LITE305021,76.8
2209103755,INSM401601,71.6
JL21928953,INSM900101,54.2
2222381192,LITE501321,53.9
2215140383,GNED100901,null
2190745537,FEES400301,92.9
2223586956,LITE101321,79.6
2218570707,SOCP100190,59.8
2216230364,INDE500901,72.6
2224203108,INSM501901,91.8
2208146340,MACH392001,null
2222674330,INDE400101,null
2205666652,LITE402421,77.1
2201320179,LITE401521,75.8
2193870304,LITE101121,76.7
2222423177,GNED100601,85.3
2226445713,CORE102600,94.4
2222713021,LITE303021,77.0
JL22261261,LITE302321,67.7
2193179551,INSM502001,45.9
2198475837,SOCP100190,70.5
2206429606,LITE401521,97.0
2220894547,GNED110400,67.2
2203461422,LITE101121,67.4
2225678905,LITE200521,70.6
2197764511,LITE306121,89.8
2213868229,LITE101121,88.4
2222466349,MACH392301,33.6
JL22198949,INSM401501,null
2222808290,MACH000101,45.2
2208584734,LITE302721,null
2219550436,LITE302321,71.4
2202777748,JZSJ900101,38.6
2214520771,INSM302201,59.6
2223750242,LITE101021,47.7
2221424213,GNED115200,null
2227199111,LITE305421,61.5
2220154964,GNED115200,85.0
2206949491,LITE304421,80.8
2218281579,MACH390901,91.9
2199942832,MACH390801,81.5
2225372704,GNED100401,72.2
2221870794,MACH000201,60.0
2213070093,INSM401501,47.5
2196416655,GNED101001,43.7
2218081326,GNED100601,98.2
2209348555,MACH390901,38.5
2199392543,LITE303721,86.9
2193867221,LITE101321,84.8
2210173888,LITE200521,69.5
2211246633,LITE200321,null
2198966502,LITE306321,81.2
2190347003,LITE302321,81.9
2229914911,MACH392001,60.2
2192808535,LITE306821,90.8
2222190189,INDE000701,73.3
2194050459,MACH392201,null
2209576392,LITE402621,83.5
2223611160,ITDE500601,47.2
2225140030,MACH000101,97.8
2197632031,MACH390801,82.5
2223363507,MACH391401,86.4
2190134684,JZSJ900301,null
2226644805,LITE101121,90.8
2224573556,MACH391401,75.6
2197164260,LITE303721,79.6
2208855253,LITE101021,99.2
2200440173,MACH000201,84.2
2199236857,INDE500801,85.8
2212005273,GNED100701,55.7
2217962485,INSM302001,76.7
2200026968,LITE402321,97.9
2214035774,LITE307021,null
JL22005641,LITE306821,94.1
2220540481,BSIS400121,null
JL22112734,GNED101001,40.3
2218423174,GNED100901,93.8
2224225210,JZSJ900121,78.4
2190327547,FEES300101,73.4
2209759042,GNED101101,56.9
2197476939,FEES500101,null
2202277549,BSIS400121,50.2
JL21916613,GNED100701,74.9
2206762710,INSM302201,67.1
2193310881,LITE306221,92.2
2201447926,INDE401601,69.8
2220992831,LITE402321,64.9
2201913018,MACH391201,63.0
2216185143,LITE305021,87.5
JL22025113,GNED106292,45.7
2203034063,INDE500901,71.5
2193918066,LITE303021,40.5
2216954812,LITE501321,92.0
2191952580,MACH392401,66.3
2198623974,MACH000201,70.8
2196252065,ITDE500601,75.2
2218281579,GNED106392,60.6
JL21936931,LITE401121,71.9
2207389931,MACH392301,42.2
2210148681,SOCP100190,47.6
2211212033,JZSJ900121,97.7
2199555042,LITE401521,71.0
2223597617,LITE305821,51.9
JL22261261,MACH391501,null
2229443238,INDE500901,null
2225639683,LITE302721,32.7
2191384715,INFT500121,56.7
2200872797,JZSJ900101,50.8
2194050459,MACH392301,null
2215428860,MACH000101,null
2213070093,LITE200321,null
2216062620,LITE200521,89.6
2211530784,GNED110400,91.3
2207462533,GNED106392,52.9
2190206969,MACH391401,86.9
2208781712,MACH391501,66.1
2196793351,LITE501121,77.5
JL22234364,LITE402621,45.9
2207294072,BSIS400121,96.3
2193960512,LITE502221,60.0
2223189444,INDE900201,52.5
2197431614,INDE401501,55.4
2227526851,INSM900101,53.4
2229351537,LITE306221,92.1
2192808515,MACH390901,56.3
2206456462,LITE303221,74.8
2228764844,INDE900201,99.1
JL22179242,INSM502001,null
2196361366,LITE304421,67.4
2206767598,LITE302321,77.1
2227713932,LITE306121,48.5
2196733799,MACH390801,51.2
2192627329,GNED106492,86.8
2206251375,GNED100701,null
2202512981,INSM900101,86.9
2191614442,CORE102600,69.2
2195469338,GNED100401,53.7
2194114443,INDE401501,95.4
2229016938,INDE400101,84.2
2206313516,INSM502001,null
JL22086058,MACH390901,43.3
2193870304,INDE300601,67.3
2220034097,LITE305421,85.1
2216129930,LITE306821,67.0
JL22144367,MATH400121,91.9
2226182511,INSM501901,76.7
2197375487,JZSJ900301,99.1
2205425551,MACH391201,74.2
2203250107,LITE306221,98.2
2219078227,MACH391401,69.4
2214004359,INSM502101,97.7
JL21933809,LITE401421,67.0
2201511265,ITDE500601,52.5
2191632426,LITE303021,78.3
2220034097,MACH392201,null
2197971878,GNED110400,63.9
2229443238,LITE101121,76.4
2214508750,GNED100401,73.5
2212529228,LITE304621,null
2219231679,LITE305321,null
2202777748,MACH392301,null
2206453927,LITE101321,44.5
2195153825,LITE101021,46.1
2224225210,MACH391501,67.9
2196627401,MACH000101,66.8
2212026425,INSM000101,67.0
2190347003,LITE502121,92.5
2197753307,INDE000701,null
2225502370,ITDE500701,null
2224676405,INSM302201,97.9
JL22165777,INSM401801,88.1
2200440173,MACH391401,84.4
2219431854,MACH390801,75.4
2216119028,MACH392001,93.0
2221026560,MATH400121,null
2228764844,INSM900101,46.4
2221321675,FEES400301,78.6
2215849305,INSM900301,95.8
2203663954,MACH390801,64.2
2200026968,LITE305421,75.8
2190213714,LITE305421,80.1
2200049881,JZSJ900101,null
2197605025,JZSJ900101,91.2
2192494355,LITE501121,66.7
2200341790,GNED100701,95.5
2219489078,GNED106492,null
JL21936931,ITDE500601,67.0
2194498354,LITE305621,41.2
JL21921615,LITE401421,84.3
JL22238064,GNED101101,null
2200026968,INDE401401,77.2
2200306125,LITE305421,82.6
2211395587,MACH390901,63.8
2191632426,LITE302321,65.6
2203225789,MACH390801,61.6
JL22232817,LITE306921,78.5
2229432307,MACH392001,82.8
2197462818,MACH390901,63.5
2218098258,LITE200321,45.2
2195936057,FEES400301,83.4
2207546468,LITE303721,77.7
2227872334,JZSJ900101,90.8
2207327278,FEES400301,79.2
2221588726,LITE502121,78.4
2224280819,INDE400601,61.9
2218436556,GNED101001,80.5
2215873691,GNED100701,59.6
2195777977,MACH392001,84.6
JL21919179,INDE900201,null
2212529228,MATH400121,null
2216954443,LITE502121,46.9
2219290065,MACH392401,92.0
2225140030,INDE401401,95.7
2202069590,LITE101021,54.2
2217817831,INDE400601,59.0
2207742692,LITE101121,71.7
2226182511,LITE401121,71.6
2193310881,INDE400101,85.6
JL22166030,LITE401521,75.4
2222808290,LITE402321,71.6
2212166682,JZSJ900301,78.9
2192665577,INSM502101,37.8
2220817022,LITE501121,90.4
2206416280,LITE200321,76.8
2216616451,JZSJ900121,90.8
2206715754,LITE101121,95.9
2221366895,MACH391501,62.5
2225502370,GNED106492,null
2228379774,FEES400101,null
2209348555,INDE901001,48.5
2229515517,GNED115200,93.9
2223127636,GNED101101,null
2205118591,LITE306921,72.8
2191278913,MATH400121,null
2199662571,LITE306121,89.9
2210679012,INDE300601,98.1
2215196747,MACH391501,52.9
2194114443,MACH390901,90.7
2194490065,LITE101321,84.9
2210521450,BSIS400121,58.8
2228765196,LITE402321,96.5
2209527942,LITE305421,91.9
2191632426,LITE306321,32.7
2215837292,LITE401121,74.5
2226110631,MACH392201,53.9
2221453220,LITE305021,99.3
2209660764,INDE000701,59.1
2219700103,MACH390801,81.3
2224346066,JZSJ900121,82.7
JL22158559,LITE306121,83.9
2215168534,INDE000701,84.4
2225638299,INSM401801,79.7
2205330242,MACH392401,77.2
2223503816,LITE502221,72.9
2197605025,GNED110400,63.3
2222674330,MACH391201,90.4
2208146340,GNED106292,69.9
2225043354,JZSJ900121,95.7
JL21933205,INSM900301,null
2190942237,LITE101021,null
2216350852,INDE901001,96.4
2206416280,INDE500901,93.4
2222713021,INSM900301,68.2
2221588726,INSM502001,null
2228539081,INDE900201,74.1
2216954812,LITE402621,null
2222784391,LITE306121,null
2221066712,JZSJ900301,45.6
2205714505,LITE305821,null
JL21907922,INDE900801,47.8
JL21924326,LITE101321,60.8
2201415493,LITE401521,81.7
2190923201,LITE303221,97.7
2226439124,MATH400121,null
2194496091,JZSJ900301,null
JL21941350,GNED100401,68.9
2221870794,INSM501901,52.3
2212084232,LITE101321,68.9
2198679623,LITE302721,91.0
2222882814,INSM900101,70.0
2226658003,LITE306121,77.0
2226377833,INDE400601,92.7
2209858928,INDE900801,75.8
JL22222362,INSM302201,51.2
2204098768,MACH390901,73.6
2229479066,LITE307021,97.3
2195160291,LITE306221,61.5
2218113808,INDE901001,null
2197632031,FEES300101,59.7
2222504770,BSIS400121,87.7
2223363507,GNED100901,null
2192004102,LITE200521,79.3
JL22022091,GNED106392,null
2206204587,INSM000101,61.1
2190611825,GNED106492,99.5
2201968559,MACH390801,83.0
2192825623,GNED106292,93.3
JL22068348,LITE401421,62.0
2207347932,LITE306321,71.2
2206586561,LITE306321,28.8
2191886330,INSM502101,83.1
2223371934,INSM900301,91.3
2222882814,LITE302721,87.1
2229479066,INSM401801,40.6
2223001004,LITE306221,72.6
JL22166030,GNED100701,63.4
2196895336,MACH392401,null
JL22198949,SOCP100190,null
2213477527,LITE401521,76.6
2226212297,INDE401501,null
JL22107007,LITE305021,73.8
JL22234364,INDE900301,79.0
2191590488,MACH390801,72.8
2219193336,INSM502101,null
2209066322,INDE400601,null
2215488139,INSM501901,91.6
2202014275,MACH390801,78.8
2198230364,INDE501001,null
2218169975,LITE304621,87.4
2219471450,LITE501321,79.4
2218687112,MACH390801,67.6
2207347932,GNED100701,97.8
2221217114,INSM302201,84.8
2210123496,LITE101021,73.1
2191063024,GNED106492,82.5
2200251565,SOCP100190,79.3
2191526172,LITE200521,97.7
2216933565,LITE303021,72.2
2192341356,INSM501901,88.6
2229071720,FEES400501,59.9
2192281149,FEES500101,null
2218606372,MACH392401,null
2216616451,INFT500121,98.0
2192745767,MACH392201,69.2
2228764844,MACH000101,85.3
2215662842,SOCP100190,null
2196972533,FEES400501,71.2
2195072567,MACH390901,82.9
2217148938,MACH391401,57.2
2206204587,GNED100701,83.9
2215625789,SOCP100190,67.6
2220154964,GNED115200,65.4
2224604427,FEES400301,86.9
2214853962,MACH000201,null
JL22212440,BSIS400121,85.5
2202277549,INDE900801,null
2193083329,LITE401821,null
2219942247,MACH390801,null
2200415270,JZSJ900301,81.3
2196782232,MACH000101,90.1
2217873149,LITE303221,65.6
JL22087368,GNED106292,null
2223381898,GNED106492,60.9
2221685253,GNED106492,50.3
2221588726,LITE401121,74.7
2194490065,LITE304421,65.8
2208810388,MACH391201,82.1
2222610011,LITE502121,77.1
2216774763,INDE501001,82.8
2227292331,LITE303721,87.1
2199134930,LITE305821,83.0
2197753307,LITE306921,89.1
JL22013848,FEES400501,null
2217435033,LITE306321,72.3
2208055289,LITE402621,73.5
2214067481,LITE305821,73.2
2192984966,LITE303021,85.3
2216774763,GNED106392,null
2226816814,GNED100701,99.8
2210406956,MACH392301,62.0
2224346066,LITE302321,89.1
2196416655,INSM502101,null
2199845411,MACH400301,87.8
2206372474,LITE302721,94.3
2228057245,FEES300101,null
2206715754,INDE500901,79.9
2195469338,LITE401121,76.8
2223597617,MACH390901,66.2
2197045078,INSM502101,53.8
2215172777,GNED100601,null
2190198982,LITE306221,90.4
2198475837,MACH391501,80.4
2212509827,INSM501901,82.5
2195043024,ITDE500601,94.9
2228765196,GNED106392,82.4
JL21942216,LITE401821,69.2
2202470738,GNED100401,55.3
2197884937,LITE502221,45.0
2202622585,SOCP100190,51.7
2198230364,INDE000701,null
2195581852,INDE900801,91.0
2218169975,FEES400301,null
2226439124,LITE303021,70.2
2192297206,LITE306921,83.5
2223758251,MACH392201,62.4
2220090121,INSM401501,67.3
2201542042,LITE305821,74.9
2224447728,INSM401201,72.5
JL22086675,LITE401821,57.3
2216338733,MACH392301,94.5
2219078227,INDE901001,85.1
2196165268,INDE500801,83.5
2221870794,INFT500121,64.5
2196724776,MACH391201,92.0
2217996207,FEES400301,65.7
2196416655,INSM900101,82.3
2221968614,INSM501901,76.0
2224280819,LITE306321,61.2
2193885756,GNED101101,49.2
2193083329,INDE401501,74.9
2229584507,LITE101121,null
2208600490,INSM401601,99.8
2208402186,LITE306221,81.9
2206192544,INSM502101,58.8
2214538316,MACH000101,77.5
2223002853,FEES400501,89.3
2193913656,GNED100701,58.9
2221651483,INSM302001,63.8
2202277549,INDE900301,91.5
2196733799,GNED110400,76.0
2217959034,MACH391401,95.8
2219489078,LITE200521,56.3
JL21942216,SOCP100190,82.0
2218436556,MACH391201,70.3
2224120773,LITE200521,null
2203315818,GNED100901,84.9
2197164260,INSM401801,69.1
2221066712,GNED101101,84.3
JL22206505,GNED110400,73.9
2205185638,LITE502121,null
JL21919179,GNED100601,90.6
JL22252352,INSM900301,85.3
2207525415,LITE306921,83.5
2204819248,INDE900301,72.7
2225826872,LITE402621,52.4
2225190361,MACH390901,65.9
2190796474,JZSJ900301,null
2190198982,ITDE500601,75.6
2209348555,GNED101001,91.1
2208876820,INDE500801,78.2
2190134133,LITE501321,64.8
2199662571,AUTO544905,68.2
2190611825,LITE306921,47.3
2204105873,MACH392201,69.0
2219988811,LITE402621,58.1
2208603890,INDE401501,90.4
2229027418,FEES400301,52.1
2206251375,LITE402621,85.9
2227986592,LITE303721,89.4
2196895336,LITE502121,84.8
2218018122,GNED100601,62.0
2229443238,INSM401801,null
JL22144367,INSM502001,88.8
2198623974,LITE307021,92.9
2223371934,JZSJ900301,null
2227230580,LITE402621,76.5
2215897842,MACH392001,92.2
2220417908,LITE302321,84.8
2195192673,LITE306221,75.7
2219522628,INDE401401,null
2214508750,INSM900301,61.4
2223381898,INDE500801,null
2228379774,GNED106392,97.6
2217305509,LITE401521,87.0
2221951145,LITE306921,56.2
2195887286,FEES400301,69.9
JL22068348,LITE200521,83.5
2213941557,MACH390801,74.9
2211066800,LITE401521,53.2
2196888323,INDE400601,42.9
2208855253,LITE306921,86.4
2196165268,INDE500901,95.1
2203151205,GNED101101,null
2200138838,GNED106292,99.0
2221424213,MATH400121,null
2207748693,FEES400501,96.9
2225140030,JZSJ900121,95.4
2218570707,LITE302721,65.7
2193632521,LITE306921,81.2
2208696221,LITE502221,71.0
2195897321,FEES400301,45.6
2217583894,LITE402421,94.0
2223363507,LITE401121,50.2
2201511265,MACH391501,39.8
2196165268,GNED106292,89.2
2206960299,GNED101001,64.6
2212861118,GNED106492,99.3
2205237518,INDE401601,49.9
2213348254,FEES400101,74.0
2207347932,JZSJ900301,null
2219759945,LITE305321,52.2
2190675360,INDE500801,84.5
2192341356,LITE306821,61.4
JL21987460,LITE303021,88.0
2225161011,INDE500901,null
2222808290,AUTO544905,82.0
2197127525,LITE501121,88.5
2207861557,INSM302201,81.9
2208876820,CORE102600,null
2224142408,FEES500101,68.7
2224604427,LITE306921,53.3
2222381192,LITE401521,63.5
2190942237,FEES400101,null
2198993184,INSM502001,42.7
JL22157269,INDE900801,82.1
2208472165,LITE402421,65.7
2221588726,INDE501001,65.2
2227487099,LITE303221,97.0
2221066712,LITE101021,45.2
2195936057,LITE401821,52.4
2220629197,BSIS400121,98.5
2224877439,MACH000101,51.5
2195816633,JZSJ900301,53.8
JL21916613,INDE501001,66.3
2216311834,LITE306321,null
JL22240435,ITDE500601,34.3
2219573005,GNED100901,52.7
2194114443,LITE101321,76.7
2195192673,LITE502121,null
2221100858,INDE400601,74.6
2205569366,LITE302721,80.9
2223417116,FEES500101,53.6
2216954443,MACH000101,69.5
2195737277,LITE501121,null
2226445713,LITE501121,62.2
2218248071,INSM302001,49.7
2224578041,MACH000201,77.9
2213298391,LITE306921,42.6
2201802647,LITE401121,71.6
