C#,CNAME,PERIOD,CREDIT,TEACHER
JZSJ900301,综合性实践训练,64.0,2.0,赵宏
MACH000101,机械工程导论,16.0,1.0,朱永生
MACH000201,智能制造工程导论,16.0,1.0,"陈雪峰,陈贵敏,张留洋,张小栋,曹军义,周光辉,江平宇,刘啸川"
MACH390801,机械制图,48.0,3.0,刘弹
MACH390901,工程制图,32.0,2.0,彭军
MACH391201,工程图学,52.0,3.0,许睦旬
MACH391401,机械设计基础Ⅰ,72.0,4.0,"雷亚国,武通海"
MACH391501,机械设计基础Ⅱ,56.0,3.0,"蒋克俭,崔健磊"
MACH392001,大数据技术,36.0,2.0,"严如强,李乃鹏"
MACH392201,大数据技术,64.0,4.0,"张留洋,刘啸川,马猛"
MACH392301,程序设计与Python实战,32.0,2.0,马军
MACH392401,材料力学（英）,48.0,3.0,"靳忠民,李培"
MACH400301,机械设计基础课程设计,32.0,1.0,杨培林
